cluster,gene,logFC,pvals,adj_pvals
0,XBP1,2.7471447,9.275247283390344e-65,1.681324075060168e-60
0,SCGB2A2,5.6769767,4.2354411952856113e-29,3.8387921273471136e-26
0,KRT18,2.2530715,2.731244429749036e-29,2.605750935687409e-26
0,KRT8,2.0807238,3.6232979588137626e-26,2.2648111068764508e-23
0,RPL31,1.1694489,3.749034570308579e-22,1.4158072844996586e-19
0,TRPS1,2.1317286,6.323000416090199e-20,1.4885328382138577e-17
0,AZGP1,2.3205776,3.56811586684182e-18,5.774931814128721e-16
0,ADIRF,2.0034122,3.3282966388703708e-18,5.435318303856145e-16
0,TFF3,2.8939652,5.802709066375957e-17,7.968614185317953e-15
0,ANKRD30A,2.3731174,1.6792298228160492e-16,2.2381911028078325e-14
0,PPDPF,1.4006982,5.74844559761399e-17,7.95435674411823e-15
0,MGP,3.0816934,1.3377576678592412e-15,1.595364029295031e-13
0,SCGB1D2,5.156859,4.4494176723958535e-15,4.456054925277328e-13
0,EFHD1,2.154499,3.0622082459938543e-15,3.2272470276238717e-13
0,GATA3,1.91622,2.163844838212809e-15,2.4063813117965396e-13
0,FXYD3,1.5400853,2.9899975606905094e-15,3.188216810743345e-13
0,PBX1,1.8675089,1.3244105509817667e-14,1.2125045483659842e-12
0,AGR3,2.6498911,1.9901051919120886e-14,1.7511959618344869e-12
0,AGR2,2.5425975,2.5889662008660132e-14,2.2454636518228816e-12
0,SH3BGRL,1.6144972,2.4301418838998366e-14,2.1280764217126735e-12
0,JUN,1.3757325,1.5393694645297455e-14,1.3882661832602338e-12
0,SRARP,3.6650355,2.1159167509691126e-13,1.5160167171864468e-11
0,EVA1B,2.7801096,2.1580224261410833e-13,1.5400973432543078e-11
0,SMIM14,1.7444721,2.077267355343803e-13,1.498968446271968e-11
0,CIRBP,1.2110077,1.883138852699947e-13,1.3820104446514957e-11
0,TOB1,1.8742659,9.066672794194281e-13,5.766722025977534e-11
0,MAGED2,1.7711035,9.248489250267638e-13,5.861795966419632e-11
0,TSPAN13,1.6117183,2.0820506884617933e-12,1.2622519341052485e-10
0,RPL36A,1.1404455,1.9504619350490045e-12,1.186443741497762e-10
0,KRT19,1.7040842,3.861998948013631e-12,2.2582727396981644e-10
0,CD24,1.4219574,9.023619285822824e-12,5.064122191768122e-10
0,MT-CO1,1.0705652,3.637924708303183e-12,2.134131430013327e-10
0,CYB5A,1.3122131,2.5090901391278864e-11,1.322159213720093e-09
0,STC2,2.4449098,4.7809861006141265e-11,2.335982076707069e-09
0,SPINT2,1.1664736,3.16173627455372e-11,1.6190054646563639e-09
0,FOXA1,1.9220796,6.197293341320706e-11,2.987721712715969e-09
0,STARD10,1.8083729,6.774112195643708e-11,3.2145113028909295e-09
0,FOS,1.17153,3.560438914816123e-11,1.7927798946908852e-09
0,EGR1,1.5700933,1.0932308117645528e-10,4.954248731214012e-09
0,CLDN4,1.3002056,9.337391142217879e-11,4.306841965266756e-09
0,RHOB,1.4616594,1.65366818634044e-10,7.240590148259217e-09
0,SPDEF,1.8747607,2.598516822208749e-10,1.0954259171204185e-08
0,KRT7,1.4899921,2.7570635497689056e-10,1.146268141437178e-08
0,ELF3,1.4051939,2.9512072532362364e-10,1.2213820520413985e-08
0,IER2,1.0148606,3.400192397412546e-10,1.3944635200881725e-08
0,CLDN7,1.5536302,7.184786468905267e-10,2.725879381849455e-08
0,HES1,1.6097798,7.667889840478793e-10,2.883266243427455e-08
0,CCNG2,2.254871,1.2864155463933395e-09,4.6267568669587435e-08
0,SMIM22,1.5227677,9.219260602891053e-10,3.403615823800532e-08
0,TFF1,3.0099869,2.0017128781571013e-09,6.964500833465216e-08
0,S100A14,1.3708345,1.439811755101487e-09,5.117542683279344e-08
0,MLPH,1.9588027,2.044251771507255e-09,7.085306283386618e-08
0,ZNF703,2.0434268,2.3774959262272602e-09,8.100915160661944e-08
0,SHISA2,3.9457204,5.357097789912228e-09,1.6685242549439685e-07
0,RARRES3,1.6367172,3.731408684843197e-09,1.2253486454737793e-07
0,NFIA,1.8006047,5.308678574079956e-09,1.662010647881647e-07
0,TBC1D9,1.6671304,7.357708835420764e-09,2.220380346522773e-07
0,PDCD4,1.5417329,9.687125413501612e-09,2.8692569014794725e-07
0,TBX3,2.034963,1.1347659107718066e-08,3.3230858908821547e-07
0,TTC39A,2.4132705,1.2071751818165183e-08,3.518081112666886e-07
0,GLUL,1.1674757,1.6454427252815542e-08,4.660459418934177e-07
0,ZG16B,1.695933,2.823412278220019e-08,7.55982191540536e-07
0,WEE1,2.1481757,3.341056407820237e-08,8.841361971468238e-07
0,SLC40A1,2.1689718,4.4373209782826646e-08,1.1409264875649625e-06
0,RERG,2.0369222,1.3111115577311865e-07,2.99703899205463e-06
0,TPD52,1.4090141,1.2817257863976793e-07,2.9409928265861683e-06
0,FOSB,1.2042075,1.0839309404748557e-07,2.5320123914932614e-06
0,NDUFC2,1.1772336,1.3068840545702592e-07,2.991147380958976e-06
0,HSPA1A,1.1174982,1.5386551771951622e-07,3.4647456393809574e-06
0,TFAP2B,2.4827366,2.2859216048860663e-07,4.8979788335425205e-06
0,PLA2G16,1.4091694,2.395831767306281e-07,5.121372929948226e-06
0,DSP,1.1701919,2.408182303542154e-07,5.1366215278331305e-06
0,GSTM3,1.5065097,2.970305823369215e-07,6.239018964103564e-06
0,SCUBE2,2.2289991,4.220375852012169e-07,8.522362393468069e-06
0,AFMID,2.3236456,4.773879790097907e-07,9.457499339355711e-06
