names	scores	logFC	pvals	adj_pvals	cluster
ANKRD30A	9.824461	2.4204974	3.405541716199652e-17	1.245888776372051e-15	0
TFF3	9.271479	2.8041759	8.404124943748711e-16	2.5246537940773568e-14	0
AGR2	8.983657	2.6068368	5.0446559614557325e-15	1.259459714701279e-13	0
SCGB1D2	8.872413	5.0453453	2.0197625951262842e-14	4.3389667377858255e-13	0
AGR3	8.828814	2.6712804	1.2405006971736924e-14	2.7612349855763813e-13	0
EVA1B	8.571337	2.8234584	7.426661191138893e-14	1.4442901632241164e-12	0
SRARP	8.1683855	3.6176152	6.796969368728893e-13	1.0825345610971234e-11	0
MAGED2	8.09742	1.7936414	4.805692010887856e-13	7.927246419745816e-12	0
CD24	7.437659	1.4196182	7.321526566936708e-12	1.0286327248985223e-10	0
STC2	7.3058476	2.4574664	4.066085040297567e-11	5.058647886834853e-10	0
STARD10	6.90272	1.7263399	2.5225368628868376e-10	2.765808222067319e-09	0
SHISA2	6.3940816	3.9712162	4.5830319500456734e-09	4.003381336978431e-08	0
GLUL	6.392648	1.214499	2.5447811427397828e-09	2.3332422636286593e-08	0
KRT7	6.302919	1.411421	4.073303461392326e-09	3.5920898066455e-08	0
RARRES3	6.25985	1.6330254	6.0082103470656214e-09	5.0918204661485025e-08	0
TFF1	6.2316523	2.8971791	8.615003259065908e-09	7.073874898277451e-08	0
SLC40A1	5.8069596	2.1532059	6.121245796675592e-08	4.40127991426179e-07	0
TFAP2B	5.6950927	2.6219878	1.0666502209530552e-07	7.179002853226847e-07	0
GSTM3	5.4744687	1.5168314	2.4717003240795544e-07	1.5427251178165463e-06	0
AFMID	5.4546604	2.3698807	3.117889391353637e-07	1.913721146354101e-06	0
BTG2	5.2656384	1.2087957	5.856122294477218e-07	3.375721041824231e-06	0
TCEAL4	5.2572207	1.0624851	5.913119233065695e-07	3.4032672221460657e-06	0
SUSD3	5.0970387	1.8209195	1.3949058442077304e-06	7.5243461231351295e-06	0
GFRA1	5.002993	2.2766736	2.1718397216667895e-06	1.1176807481279649e-05	0
PGR	4.8206754	2.595173	4.6757513217469044e-06	2.25841844886991e-05	0
ZFP36	4.8010864	1.1273055	4.456533259233268e-06	2.1581769846483517e-05	0
CYP4X1	4.7557964	2.6546218	6.1116887469738295e-06	2.8804451428658547e-05	0
DEGS2	4.7195992	1.4831989	6.596149848228779e-06	3.089071443498776e-05	0
DUSP4	4.7128286	1.3574709	6.62475889024118e-06	3.098542291068502e-05	0
CLDN3	4.6088376	1.1860712	9.995061133432758e-06	4.559475418275808e-05	0
RND1	4.5689473	2.3036213	1.2879351493325799e-05	5.706139540508253e-05	0
SHROOM3	4.5587425	1.8490896	1.3204256471856552e-05	5.836091825778703e-05	0
KCNK6	4.55747	1.6966507	1.329759879417418e-05	5.870325871502222e-05	0
SCGB2A1	4.5525813	3.5396106	1.4199523358998721e-05	6.223871745136451e-05	0
ANO1	4.4994683	2.931799	1.741188760816315e-05	7.457285554400884e-05	0
C9orf116	4.469924	2.588983	1.9454155132258734e-05	8.243475139185324e-05	0
GADD45G	4.431246	1.69089	2.1924161982765968e-05	9.153647291109634e-05	0
SLC12A2	4.398764	1.5959277	2.459482342107918e-05	0.00010165310127616059	0
SLC2A10	4.3380203	2.1350455	3.222703954253532e-05	0.00012988707801477799	0
CRIP1	4.3303633	1.1030821	3.0074607684609915e-05	0.0001222504679808951	0
ERBB4	4.2281013	2.2480292	4.919980081039739e-05	0.00018971496546453387	0
BCAM	4.212187	1.3262008	4.95337295812752e-05	0.00019025689272641563	0
KRT15	4.1940813	1.7104669	5.408889220301718e-05	0.00020519348736154877	0
SEC14L2	4.140475	2.2935903	6.835952778012004e-05	0.00025695671937695175	0
INPP4B	4.0899444	1.9332007	8.190851775511737e-05	0.00030356266108842397	0
DHRS2	4.069795	2.2501986	8.867880550457756e-05	0.00032506764517799014	0
SLC39A6	4.0634813	1.0941552	8.583243381504789e-05	0.0003158872937715159	0
MAOB	3.9947271	2.0792718	0.00011711454496681346	0.0004168961884897647	0
AREG	3.9723222	1.598116	0.0001240311124735778	0.0004373183483213927	0
C16orf89	3.9707785	3.2431254	0.00013081216765082544	0.00045815256821781994	0
CAPN8	3.9650636	2.2294707	0.00013123247149761068	0.0004591893770678707	0
MUC1	3.9552093	1.1397899	0.00012922592736861754	0.00045302637725525783	0
ACADSB	3.9159207	2.2691057	0.00015829849216030158	0.0005446116653001064	0
INTS6	3.8809052	1.186821	0.0001725689569574845	0.000590956715438281	0
BPIFB1	3.8312364	5.391759	0.0002190611025494194	0.0007284324675004589	0
NPY1R	3.8141372	2.1449175	0.00022597430850241807	0.0007495287880757942	0
NTN4	3.7715092	1.9637111	0.00026336440335909887	0.0008598295119676284	0
CCDC74A	3.7673512	1.8175261	0.0002653892120213998	0.0008639763334088741	0
PDZK1	3.7620926	3.4693964	0.00027710199808984095	0.0008957934233962925	0
NEK10	3.676281	3.2026272	0.00037383250602979976	0.0011775883288832993	0
ANXA9	3.671905	2.3106241	0.00037554319296738626	0.0011809634876719082	0
ENPP1	3.6418169	1.5684628	0.0004079366252871164	0.0012730792486789655	0
RAB11FIP1	3.635186	1.1176167	0.0004143056968932797	0.0012918645991735597	0
MAPT	3.5934894	1.5820613	0.00048538363118623965	0.0014871413907405933	0
CHAD	3.58594	4.238621	0.0005119864137246924	0.001559595876927237	0
TMEM150C	3.4988844	1.9172825	0.0006746262055970158	0.0019973908891674466	0
GREB1	3.4720633	1.9846165	0.0007378192617292563	0.0021671241431554865	0
MSX2	3.4615571	3.1543796	0.0007773597852529653	0.0022634707695111953	0
AKR7A3	3.4368424	1.9837884	0.0008309643196571694	0.0024025142105893907	0
RASD1	3.4355888	1.1631423	0.000809603619808592	0.0023469192261264455	0
BAMBI	3.3408058	1.1721485	0.001120520138884145	0.003148533774279023	0
DNAJC12	3.1648138	1.463754	0.0019979911185690966	0.005330380637626579	0
BCL2	3.161958	1.228244	0.0019917160972576335	0.0053213239185588975	0
RSPH1	3.1441832	2.8882368	0.0021660524454512283	0.005725009861189048	0
DRC3	3.1142254	2.8820174	0.0023757606717598827	0.0062170224377852456	0
GDF15	3.108205	1.8424762	0.002387608735279673	0.006243605291477984	0
TTC36	3.0886183	1.6689651	0.0025295299576820695	0.006568245392575718	0
GSTO2	3.0753064	1.2253873	0.002632299945051661	0.0067921426654789716	0
LRG1	3.0746782	2.1055098	0.002666478620205844	0.0068611688730226975	0
OBP2B	3.0516467	2.6664681	0.0028652967317067644	0.007298805821911069	0
FRMD6	3.022456	1.3017317	0.0030854382135436127	0.007814046743689958	0
PEG10	3.0002954	1.7425234	0.003342992988607488	0.008380162206855269	0
SHROOM1	2.9991155	2.4101698	0.003371726429779126	0.008426310136830512	0
C19orf33	2.9866595	1.2237788	0.0034365191192718444	0.008545045858485508	0
LINC02584	2.9849987	27.002346	0.0035424956435717967	0.008761393174697315	0
RIC3	2.9798112	1.6586968	0.003520420854683838	0.00873017117990388	0
TNNT1	2.9772167	1.1695161	0.003535843375955323	0.008755030273786341	0
KIAA1217	2.9726195	1.2155035	0.0035990188920691207	0.008883349903938144	0
PRR15	2.9633355	1.6748526	0.003723592089452875	0.009178567558724733	0
ANKRD28	2.9256222	1.1852143	0.004148572503278841	0.010091491375651953	0
SPTSSB	2.9044218	1.9717578	0.00445989552018957	0.010728720017643531	0
CASD1	2.8844757	1.4695762	0.004700109218186705	0.01124071427909377	0
PCSK1N	2.8823686	1.6952155	0.004736933919115221	0.01130344107795633	0
AL121944.1	2.8720808	1.4292674	0.004867219418182133	0.011572957368200116	0
HMGCS2	2.8606694	3.2183566	0.005104122240063943	0.012081826827057187	0
PI15	2.842037	1.9648404	0.0053654209422495155	0.012563517352098834	0
P4HTM	2.8312604	1.2338281	0.005477103142827312	0.012800693303445236	0
LY6G6C	2.8086028	3.344744	0.00593664964181336	0.013701386899750385	0
PITX1	2.8046052	1.2366171	0.005936166325831278	0.013701386899750385	0
LINC00052	2.8018734	8.569874	0.006070254590590342	0.013966121240492723	0
TMC5	2.7906296	1.2025559	0.006152075326902209	0.014110439685228841	0
ARHGAP40	2.7329583	3.4098625	0.007374241963303304	0.016706207268182532	0
ZNF101	2.6979113	1.7337717	0.00805266237326777	0.018103240234786704	0
HDAC11	2.6969402	1.6499143	0.008089690212058508	0.018160027541650175	0
GAB2	2.6960745	2.307495	0.008152171583261477	0.01824486614182384	0
LRRC26	2.6949737	1.0287427	0.008057940706759912	0.018103240234786704	0
SERPINA3	2.6884818	2.8250442	0.008324490047137537	0.018574269760974156	0
SYT1	2.682865	2.3732092	0.008462908779967587	0.01882627811076474	0
LINC00623	2.6774797	1.0680665	0.008483477523888065	0.018860679573264982	0
MB	2.6667006	1.1609428	0.008776937261222166	0.019477947855985524	0
TMEM67	2.6626682	1.5817238	0.008905863090269679	0.019728515658601	0
