names	scores	logFC	pvals	adj_pvals	cluster
XBP1	23.508383	2.7066858	4.844205740619355e-63	1.6247950474611377e-58	0
SCGB2A2	14.777734	5.5894094	3.5527775248576845e-28	5.95818554806258e-25	0
KRT18	13.60203	2.201175	2.055232704421015e-28	3.7339657961922596e-25	0
RPL31	12.494064	1.2218275	4.1607253721100543e-26	5.168699618738642e-23	0
KRT8	12.145577	2.0100248	4.067277020445627e-24	3.4979625267376096e-21	0
TRPS1	10.6451645	2.1337976	2.988759869446769e-19	1.253074934763926e-16	0
ADIRF	10.502427	2.082624	2.1237473743916998e-19	9.016786162591392e-17	0
AZGP1	10.088031	2.3053749	5.828391152309217e-18	1.7300005985805616e-15	0
ANKRD30A	9.824461	2.4204974	3.405541716199652e-17	9.138021976244202e-15	0
MGP	9.785888	3.1846864	5.800356647205896e-17	1.5199200179994762e-14	0
PPDPF	9.384087	1.382951	1.236363865159424e-16	3.117960932429492e-14	0
GATA3	9.34129	1.966148	2.9586420069634056e-16	6.843849072797212e-14	0
TFF3	9.271479	2.8041759	8.404124943748711e-16	1.8304074983004904e-13	0
EFHD1	9.144896	2.1514068	2.0237014205549702e-15	4.113755717989955e-13	0
AGR2	8.983657	2.6068368	5.0446559614557325e-15	9.048278374501964e-13	0
SCGB1D2	8.872413	5.0453453	2.0197625951262842e-14	3.150923590843288e-12	0
AGR3	8.828814	2.6712804	1.2405006971736924e-14	2.029640677263552e-12	0
SH3BGRL	8.665236	1.632701	1.8339071797360598e-14	2.8878441650482247e-12	0
EVA1B	8.571337	2.8234584	7.426661191138893e-14	1.051044907223585e-11	0
SRARP	8.1683855	3.6176152	6.796969368728893e-13	7.834266309159305e-11	0
PBX1	8.135967	1.755897	3.7178656132466643e-13	4.584593034334793e-11	0
CIRBP	8.132547	1.227172	2.6072940241672766e-13	3.350622561861863e-11	0
MAGED2	8.09742	1.7936414	4.805692010887856e-13	5.777337481619698e-11	0
JUN	8.025026	1.3333359	3.3545020103522847e-13	4.1826524880753155e-11	0
FXYD3	7.987176	1.4615743	5.08362150322455e-13	6.067962592158528e-11	0
RPL36A	7.9727015	1.1572509	6.524860877418556e-13	7.57267677126283e-11	0
TOB1	7.823218	1.8511982	2.423133213057427e-12	2.6387763343882846e-10	0
SMIM14	7.744277	1.6782548	3.223361285513659e-12	3.4322146310290044e-10	0
TSPAN13	7.4934025	1.5879538	1.0731694396425729e-11	1.064946040681998e-09	0
MT-CO1	7.4810414	1.0875093	1.938311689266821e-12	2.117684442009721e-10	0
CD24	7.437659	1.4196182	7.321526566936708e-12	7.464173938651189e-10	0
STC2	7.3058476	2.4574664	4.066085040297567e-11	3.5795422135595984e-09	0
FOS	7.1420727	1.1719898	3.40337275953279e-11	3.0686162829970247e-09	0
SPINT2	7.091828	1.1440136	5.941774468948418e-11	5.176443050986984e-09	0
KRT19	7.086384	1.6049398	6.200684183430882e-11	5.3602357782591545e-09	0
EGR1	7.023896	1.586422	1.1902628988894505e-10	9.643142002814265e-09	0
FOXA1	6.955318	1.8655273	2.1258767504026177e-10	1.6429500480473317e-08	0
CCNG2	6.941236	2.373464	2.761167697676311e-10	2.0765095459139273e-08	0
STARD10	6.90272	1.7263399	2.5225368628868376e-10	1.9272986086124698e-08	0
SPDEF	6.852465	1.8764759	3.5855092923995825e-10	2.6547807323702957e-08	0
CYB5A	6.7639728	1.2588911	3.9472348602476425e-10	2.890703153876991e-08	0
ELF3	6.750374	1.3827204	4.1957840064424225e-10	3.052728662908574e-08	0
HES1	6.6978917	1.6153995	6.538279555360975e-10	4.4938613640648045e-08	0
RHOB	6.6844125	1.4228442	6.720120060561875e-10	4.599990754108283e-08	0
CLDN4	6.664674	1.2490411	5.41397295462404e-10	3.8283231631872805e-08	0
MLPH	6.5089602	1.9592124	2.047183568190183e-09	1.2810556727736368e-07	0
CLDN7	6.4409823	1.5260386	2.5397468654480714e-09	1.5601767328570286e-07	0
SMIM22	6.4219317	1.4950185	2.5344401861895603e-09	1.5597735465134688e-07	0
TTC39A	6.4172907	2.5314925	3.7020951249215617e-09	2.1899818798058927e-07	0
SHISA2	6.3940816	3.9712162	4.5830319500456734e-09	2.632182784871266e-07	0
GLUL	6.392648	1.214499	2.5447811427397828e-09	1.560411413320568e-07	0
S100A14	6.352971	1.3503339	3.303717931691367e-09	1.978750056193931e-07	0
TBC1D9	6.3433275	1.6932958	4.280935778507311e-09	2.4756356370157535e-07	0
ZNF703	6.316885	1.9912535	5.385229007126663e-09	3.0459690746717606e-07	0
KRT7	6.302919	1.411421	4.073303461392326e-09	2.3735079154866072e-07	0
TBX3	6.267895	2.0788195	7.047913992775769e-09	3.8689702656578075e-07	0
RARRES3	6.25985	1.6330254	6.0082103470656214e-09	3.3475312832380065e-07	0
TFF1	6.2316523	2.8971791	8.615003259065908e-09	4.63070231269759e-07	0
NFIA	6.157653	1.7708745	1.1202066939057926e-08	5.926317463768799e-07	0
ZG16B	6.092049	1.777026	1.444439470127401e-08	7.453529887314333e-07	0
PDCD4	6.042338	1.5270551	1.83340129915427e-08	9.219507192643683e-07	0
NDUFC2	5.973276	1.2329683	2.4313065139010195e-08	1.1939744038470585e-06	0
YWHAE	5.891539	1.004212	3.224984748827961e-08	1.540871986615935e-06	0
RERG	5.846138	2.1058855	5.1309751824189293e-08	2.344659926342143e-06	0
SLC40A1	5.8069596	2.1532059	6.121245796675592e-08	2.7601376248267395e-06	0
PLA2G16	5.7441564	1.4769721	7.158447973532091e-08	3.175945813230686e-06	0
HSPA1A	5.7384114	1.1527314	6.23285794998244e-08	2.7998679233415058e-06	0
TFAP2B	5.6950927	2.6219878	1.0666502209530552e-07	4.52294754247616e-06	0
H1F0	5.6033993	1.4647818	1.401164675563753e-07	5.766437347617649e-06	0
TPD52	5.547434	1.4039564	1.8576983960301948e-07	7.403336429550668e-06	0
GSTM3	5.4744687	1.5168314	2.4717003240795544e-07	9.540080617946182e-06	0
WEE1	5.4666505	2.0192776	2.872634694971195e-07	1.0948981852730551e-05	0
TACSTD2	5.4571157	1.03595	1.8585043003135452e-07	7.403336429550668e-06	0
AFMID	5.4546604	2.3698807	3.117889391353637e-07	1.1829991863732165e-05	0
HACD3	5.3916435	1.2603596	3.50558745511821e-07	1.313753171308602e-05	0
SCUBE2	5.3781853	2.228732	4.2300966261284106e-07	1.5489265386132426e-05	0
NQO1	5.329754	1.5086436	4.807324946027218e-07	1.7282152841875554e-05	0
FOSB	5.3221326	1.1465883	4.3503521338986376e-07	1.5877601841468355e-05	0
ARL6IP1	5.2812595	1.1347219	5.711850975998976e-07	2.0081886120123865e-05	0
BTG2	5.2656384	1.2087957	5.856122294477218e-07	2.052457658088405e-05	0
TCEAL4	5.2572207	1.0624851	5.913119233065695e-07	2.0702706909838882e-05	0
BHLHE40	5.1775627	1.5423728	9.669794286053816e-07	3.201723298603465e-05	0
SUSD3	5.0970387	1.8209195	1.3949058442077304e-06	4.494383950102929e-05	0
N4BP2L2	5.073112	1.0770186	1.4283530936436522e-06	4.5801521141397455e-05	0
ELOVL5	5.0682445	1.339668	1.4813232566516944e-06	4.72291476723902e-05	0
MAL2	5.0654364	1.0584176	1.3532689117473198e-06	4.370991435172344e-05	0
HSPA1B	5.0462575	1.2008001	1.5843939385569998e-06	5.0181451457167446e-05	0
ASPH	5.0321503	1.2499778	1.739038556678358e-06	5.456416485458261e-05	0
CREB3L4	5.0126376	1.466581	1.9048958148993826e-06	5.877839054971499e-05	0
GFRA1	5.002993	2.2766736	2.1718397216667895e-06	6.610315435973302e-05	0
H2AFJ	4.9362307	1.0248536	2.3623054529795785e-06	7.125367553811875e-05	0
DSP	4.921575	1.0600445	2.6185138561306826e-06	7.779235894462288e-05	0
WWP1	4.8944807	1.6715679	3.3281301280282663e-06	9.590104177336432e-05	0
TSC22D1	4.8238397	1.072846	3.973164615852557e-06	0.0001125539817401272	0
PGR	4.8206754	2.595173	4.6757513217469044e-06	0.00013004094119627936	0
KIAA1324	4.8124266	1.5990831	4.604362891788728e-06	0.00012826821906435692	0
ZFP36	4.8010864	1.1273055	4.456533259233268e-06	0.00012466770813006093	0
CCND1	4.797473	1.1438204	4.635043270389723e-06	0.0001290157562922338	0
BSPRY	4.7827673	1.8782724	5.364361806282963e-06	0.0001467586128421997	0
CYP4X1	4.7557964	2.6546218	6.1116887469738295e-06	0.00016478468831370515	0
DEGS2	4.7195992	1.4831989	6.596149848228779e-06	0.00017628801757724422	0
DUSP4	4.7128286	1.3574709	6.62475889024118e-06	0.00017691165440890082	0
PLEKHF2	4.708278	1.5513184	7.08126657986904e-06	0.00018746074376905088	0
ESR1	4.6969595	1.375071	6.979178574393396e-06	0.00018517616148685436	0
CRIP2	4.6955686	1.0896379	6.779489526072487e-06	0.00018075584912082457	0
CXXC5	4.674967	1.3737339	7.948287236489984e-06	0.00020827617359305513	0
NME3	4.6561646	1.0772238	8.366826863042035e-06	0.00021822063749089648	0
AFF3	4.6500397	1.9407688	9.111523213482725e-06	0.0002352652810649916	0
ERBB3	4.6497817	1.2837908	8.80956687415213e-06	0.00022870099266713358	0
EVL	4.632005	1.1869259	9.175923426208706e-06	0.00023656391055992793	0
CAMK2N1	4.6209784	1.6157768	9.938201672933221e-06	0.00025387450290316314	0
CLDN3	4.6088376	1.1860712	9.995061133432758e-06	0.00025513268301101074	0
FLNB	4.5867534	1.3497065	1.1372255762883986e-05	0.00028373156619145555	0
RND1	4.5689473	2.3036213	1.2879351493325799e-05	0.00031443371761434325	0
SHROOM3	4.5587425	1.8490896	1.3204256471856552e-05	0.00032139620197571886	0
KCNK6	4.55747	1.6966507	1.329759879417418e-05	0.00032319910228651897	0
MSI2	4.5542617	1.2856308	1.2880711010468013e-05	0.00031443371761434325	0
SERINC2	4.5539627	1.2681639	1.3005970094708993e-05	0.00031726054032482496	0
SCGB2A1	4.5525813	3.5396106	1.4199523358998721e-05	0.0003404333187878314	0
GALNT6	4.5405393	1.4897915	1.3766400172634804e-05	0.0003319473962547404	0
