gene,logFC,pvals,adj_pvals,cluster
CCND1,1.1347353,6.030347989718074e-08,2.1795679086544603e-06,0
IL6,5.3692174,5.83689739681811e-06,6.538923700289786e-05,12
ZEB1,3.8192446,2.1027421731151527e-05,0.000211225142942364,12
SNAI1,3.707678,0.0018592621138793521,0.0121231552413739,12
ZEB2,4.2978344,3.246913888592026e-20,2.6179023734919506e-18,2
CD44,1.3522989,1.4041863680216294e-08,2.716136964810466e-07,2
RB1,2.524471,5.222432253330711e-08,9.085352707933889e-07,2
MMP9,4.4242444,3.9419624515372447e-07,5.860698696232745e-06,2
TGFB1,2.0898263,2.460879557064791e-06,3.096037555270448e-05,2
BAX,1.2038437,7.547602569028703e-06,8.607757149533891e-05,2
NFKB1,1.890703,8.034872041330381e-06,9.095431763019315e-05,2
TNF,2.6310995,0.00022348072512042258,0.00179496336237167,2
ALDH1A1,2.6945515,0.0021635115498856664,0.013234787688257367,2
PROM1,3.7223248,3.804043953823063e-06,0.00016921941413153762,5
CTNNB1,1.0728133,0.00012630342626715393,0.003416405822924686,5
MMP2,7.0041656,3.2558541405458154e-21,5.175573636400341e-19,6
ZEB2,2.137118,1.7088174975831994e-05,0.0002584104945285757,6
ZEB1,3.185738,1.8572479963567142e-05,0.0002769851269266365,6
TWIST1,5.7572036,0.0008536889022549959,0.008058986622722999,6
SNAI2,2.5797095,0.0010743314857020348,0.009805211527056311,6
ALDH1A1,2.6138113,0.005513355086251822,0.0390899587047642,6
IL6,1.7401965,0.007306078278332074,0.03895297592330887,11
MYC,1.048778,0.007349674717577519,0.03916051464690509,11
MYC,2.9741433,8.207245893714609e-07,9.022590446446467e-06,10
CD44,1.6874007,6.301936499661892e-06,5.924138232487655e-05,10
IL6,4.732364,1.774716868488094e-05,0.00015337742459664816,10
SNAI2,3.486001,0.0007613844584772696,0.004781425972998708,10
VEGFA,1.6554565,0.00508699970926118,0.025906932470138058,10
CCND1,1.3980603,4.064406653554859e-05,0.0005546145791980615,9
ERBB2,3.7897143,3.056733184829623e-18,7.119853316136832e-16,3
CDH1,2.6554656,1.593754944556664e-16,3.126089742419594e-14,3
VEGFA,1.6138147,0.0001190237625346456,0.002061009818882059,3
CCND1,2.1377141,4.113496015473147e-18,2.838904729526437e-16,4
IFNG,4.8066163,8.185972550847451e-05,0.0007271337535168812,8
TGFB1,2.060349,0.00033653861500396843,0.002611113043221861,8
ZEB2,1.6715074,0.005463494083813585,0.030364715006659725,8
ERBB2,5.5943365,9.198242434765988e-25,2.0987636020713335e-22,14
CCND1,1.5935816,1.7501338975059047e-08,3.73893255135322e-07,14
CDH1,1.26259,0.0007646944528315014,0.005949574725683458,14
CDKN2A,4.158929,1.5840101518417794e-36,7.482997817313398e-34,1
BIRC5,2.6206846,8.245041710445681e-08,1.391781298490481e-06,1
MYC,1.2790117,2.5419023861458694e-06,3.2027779088549435e-05,1
PTEN,1.3267758,0.00010890945687241023,0.0009316327704558815,1
EGFR,2.547916,0.00018799824194490057,0.0015092506062886332,1
SNAI2,2.052465,0.0007200515539567693,0.004977586391439407,1
CDKN2A,4.533883,4.6808716964129915e-24,9.748256769505346e-22,13
CDK4,2.1504755,1.4375612458087884e-07,2.6362625339350778e-06,13
MYC,2.1376593,2.1637313312463527e-06,3.121450003498233e-05,13
CCND1,1.4591955,1.2799855874222953e-05,0.00015549437373318077,13
BAX,1.1461436,0.000433314387340963,0.003584167167892291,13
CD44,1.229797,6.364073154805747e-06,6.887943778165201e-05,7
IFNG,3.6274529,0.0025597651693190513,0.01558204783015069,7
BCL2,2.2902684,0.0017593567067311592,0.013411496204652228,15
