gene,logFC,pvals,adj_pvals,cluster
XBP1,2.5852602,6.226313910370257e-70,1.044183974338644e-65,0
KRT18,2.4148915,2.970010410929694e-48,2.4904279798248213e-44,0
SCGB2A2,5.273899,1.6407086028993314e-36,3.930786232131891e-33,0
ADIRF,2.762521,1.0554764867188608e-36,2.7232105262336392e-33,0
RPL31,1.2152008,2.409425037565103e-37,6.753341645574503e-34,0
KRT8,2.0494127,4.718133995529411e-35,9.890683271503249e-32,0
AZGP1,2.5270529,2.935591427788956e-29,2.895960943513805e-26,0
MGP,3.4258974,3.9474507385079725e-28,3.394908851802459e-25,0
AGR3,2.995927,2.262753244906452e-26,1.3799092106801327e-23,0
ANKRD30A,2.6954796,1.2872682647205597e-25,6.963913688224564e-23,0
MAGED2,2.2376297,3.3827552521785254e-25,1.6934476703480585e-22,0
GATA3,2.196307,1.6348936219707835e-25,8.56811983976907e-23,0
SMIM22,2.2750952,3.75175131435814e-24,1.7005066329038698e-21,0
TRPS1,2.0444217,1.457826240746118e-23,6.2688397360084025e-21,0
SRARP,4.7535877,7.32197060261228e-22,2.585118062970721e-19,0
RPL7,1.0503173,1.6353985234904866e-24,7.514096147451289e-22,0
STC2,3.1642447,5.2618751437827315e-22,1.8775378106129426e-19,0
PPDPF,1.369549,9.142281356603131e-23,3.655275775306973e-20,0
SMIM14,1.941164,1.40174042328793e-21,4.701577553750046e-19,0
CD24,1.7997465,2.4715767336821567e-22,9.639436654003862e-20,0
S100A14,1.8173357,6.269369186347135e-21,1.894422629542966e-18,0
ELF3,1.7904094,1.2953207256004305e-20,3.811083548891582e-18,0
TSTD1,1.482139,5.839489432494304e-20,1.5301743363694646e-17,0
TBC1D9,2.296132,6.398775132456422e-19,1.393644913751434e-16,0
KRT19,1.8452406,4.8093940113707984e-20,1.3009022946402253e-17,0
GSTM3,2.295747,7.771218180006761e-19,1.6497115757949794e-16,0
RPL36A,1.2138197,3.5108774837285716e-19,7.850556112116002e-17,0
SPINT2,1.4191061,3.2602362318714955e-19,7.388620503594718e-17,0
CD9,1.3584248,4.2390488064825645e-19,9.416022252863026e-17,0
CIRBP,1.2303319,8.252250727386914e-19,1.729929635295528e-16,0
TCEAL4,1.9504588,6.533948622466253e-18,1.191060710576851e-15,0
FXYD3,1.4562256,1.656454932716761e-18,3.249073385862741e-16,0
SH3BGRL,1.582219,6.112301424013968e-18,1.1202879894144947e-15,0
EFHD1,1.9997425,5.1006808713069234e-17,8.345460346561245e-15,0
MT-CO1,1.2240677,2.3759508062276962e-18,4.553815199524752e-16,0
H2AFJ,1.6486868,5.642018936884537e-17,9.14197860686204e-15,0
NUPR1,1.534718,7.180970834982435e-17,1.1307837689020933e-14,0
UQCR11,1.0588478,1.5862529864051962e-16,2.4183868825916676e-14,0
PLA2G16,1.9193715,4.612811571501742e-16,6.583757996584677e-14,0
SCGB1D2,4.5937996,1.3048674391724278e-15,1.7791284055805855e-13,0
CLDN4,1.4660493,2.6977158182415397e-16,3.9860830951383034e-14,0
TFF3,2.382941,1.0151695398836862e-15,1.407016592447881e-13,0
MIF,1.1269885,7.649373244331289e-16,1.0690317832838156e-13,0
COX6C,1.639096,2.9114866690845306e-15,3.685063183689216e-13,0
AGR2,2.2344508,7.45730695519822e-15,8.595379126608367e-13,0
SUSD3,2.6191149,1.3463347109234524e-14,1.5002462637569275e-12,0
MT-ND5,1.4018189,6.159348723096764e-15,7.223451591656942e-13,0
MALAT1,1.1834089,1.2700468014132159e-14,1.419954658873356e-12,0
PDCD4,1.7201641,3.676576495592558e-14,3.8657069667294665e-12,0
CLDN3,1.8081653,4.0142157390301084e-14,4.194417760212114e-12,0
TSPAN13,1.5123475,4.2257045042750446e-14,4.3945802356779725e-12,0
CRIP1,1.760143,5.6166231609677883e-14,5.691454907613915e-12,0
HES1,1.6329855,5.5689517153130264e-14,5.660248772221644e-12,0
DHRS2,4.4321446,2.598755767305448e-13,2.3494573366898123e-11,0
TBX3,2.3284018,1.878181798481212e-13,1.7259204302152967e-11,0
NME3,1.578444,1.4595120046636617e-13,1.3867844801253223e-11,0
SPDEF,1.8850867,1.617007617142259e-13,1.5149735331443717e-11,0
ZG16B,2.0840826,3.3398747464274257e-13,2.9635645203683145e-11,0
EVA1B,2.361235,7.334336955300965e-13,6.1964986352078e-11,0
MINOS1,1.2497966,3.9077862822980444e-13,3.4133088462124665e-11,0
CLDN7,1.5942712,7.751957796152477e-13,6.532874784943473e-11,0
CRABP2,1.4718469,5.05749705552307e-13,4.316374268175554e-11,0
STARD10,1.6709319,9.069090329656943e-13,7.529365315520385e-11,0
ARL6IP1,1.3739647,1.6373433535779811e-12,1.313830943118638e-10,0
MZT2B,1.05679,1.921120095807915e-12,1.526926282784201e-10,0
COPS9,1.2779326,5.425864946293569e-12,4.0532057052033994e-10,0
ESR1,1.9059693,8.526165143826467e-12,6.270130078258216e-10,0
TCEAL3,1.8567239,1.736683152774894e-11,1.2160770277081987e-09,0
RARRES3,1.6274239,1.4382484843318109e-11,1.0220400934951964e-09,0
NDUFC2,1.2332044,1.4706825961542137e-11,1.0428787517464796e-09,0
ZNF703,1.9608215,2.2971501201870168e-11,1.5886332408493345e-09,0
CYB5A,1.1768894,1.3517424115099747e-11,9.64655153711831e-10,0
FOXA1,1.7093234,8.021176429686164e-11,5.0100238105792116e-09,0
MSI2,1.7650138,1.056735222080876e-10,6.491567048317704e-09,0
NDUFA13,1.1550459,8.842290256023622e-11,5.471942019876167e-09,0
TTC39A,2.4237204,1.452165527819314e-10,8.776051165511282e-09,0
FABP3,6.0690575,1.8142375384396684e-10,1.0732158955344783e-08,0
