gene	logFC	pvals	adj_pvals	cluster
MT-ND4	3.8715537	0.0	0.0	0
MT-CO3	3.94889	0.0	0.0	0
MT-ND2	3.798108	0.0	0.0	0
MT-CO2	3.6931384	0.0	0.0	0
ANXA1	3.7576275	0.0	0.0	0
IGFBP2	4.0686116	0.0	0.0	0
ALDH1A1	3.5167034	0.0	0.0	0
MAGEA4	2.7427304	0.0	0.0	0
PGF	2.134624	3.800656222636e-312	4.904072545337e-311	0
CLU	1.3684952	2.9056982134932273e-225	2.168431502606886e-224	0
MATN3	2.500003	4.588030971538901e-132	1.8425827194935345e-131	0
MT1A	2.5084684	1.636578898936458e-130	6.4815005898473585e-130	0
ARC	1.4664224	3.2238988257246893e-128	1.2423502218592252e-127	0
MEST	1.1384661	4.485532644910317e-130	1.76595773421666e-129	0
SLC9A3R2	1.353671	4.9678734100096915e-108	1.698418259832373e-107	0
TPPP3	1.4921616	1.0248573177993575e-84	2.9966588239747294e-84	0
CYTL1	1.2893933	7.232463941514516e-85	2.1209571675995647e-84	0
TNNT3	2.0922983	5.501190105692844e-69	1.4123722992792924e-68	0
C11orf96	1.2464192	1.6061475307281873e-64	3.946308429307586e-64	0
FAM26F	1.0988771	1.5592224734460082e-54	3.543687439650019e-54	0
LY6H	1.425895	2.890884237577198e-52	6.374606918582576e-52	0
VWA1	1.0116515	1.8925425655656337e-50	4.1142229686209425e-50	0
MIA	1.5382442	1.2907464258195214e-47	2.749193665217298e-47	0
SLCO2A1	1.0298432	1.48949044178507e-34	2.8236785626257254e-34	0
CD79B	1.078918	1.3012536651040854e-24	2.2396792858934345e-24	0
CXCL14	1.4333743	6.892554382583287e-24	1.1702129681805241e-23	0
HTRA3	1.6596893	2.1033077595060356e-20	3.43958750532467e-20	0
MT-ND2	3.444435	0.0	0.0	1
MT-CO3	2.9247005	0.0	0.0	1
MT-CO2	2.7932062	0.0	0.0	1
COL1A1	2.8205938	0.0	0.0	1
MT-ND4	2.452384	0.0	0.0	1
PRSS23	3.2952697	0.0	0.0	1
COL8A1	3.0684013	0.0	0.0	1
DLX5	2.5937912	0.0	0.0	1
COL4A2	2.2062213	0.0	0.0	1
COL4A1	1.9314423	3.900752283532057e-258	5.271286869637915e-257	1
CYR61	1.735776	1.441046916865553e-227	1.6283016009780263e-226	1
MEOX2	1.8666313	3.4422485168219603e-171	2.3987794542313316e-170	1
DLX6-AS1	2.596281	3.3335168233250476e-155	2.0388482099847384e-154	1
COL3A1	1.8457549	8.405383488565802e-154	5.063484029256507e-153	1
SNAI2	1.4683223	5.974682015652421e-141	3.264853560465804e-140	1
HIST1H4C	1.6529019	6.929445284747446e-125	3.2840972913495004e-124	1
BEX1	2.8935976	3.227614391998888e-123	1.5082310242985458e-122	1
SFRP2	1.6064551	8.516190697799436e-116	3.8275014372132298e-115	1
MGP	1.9335005	8.295331423377646e-109	3.567884483173181e-108	1
COL6A3	1.8642993	1.7658423906199806e-104	7.373037121586557e-104	1
RASL11B	1.5706801	3.352546528179379e-104	1.38821802409084e-103	1
COTL1	1.336533	1.523904549333216e-97	5.999624209973292e-97	1
SRPX	1.7656504	3.751612406189696e-95	1.44849899852884e-94	1
PTHLH	2.5842767	1.733041328827835e-86	6.145536627049061e-86	1
IGFBP5	1.9017764	2.4978413858298604e-85	8.795216147288241e-85	1
MXRA5	1.5076964	3.7060004690445103e-81	1.2373958160415728e-80	1
MSX2	1.4751465	3.413381483082306e-77	1.108240741260489e-76	1
HBA2	1.4697015	4.434445704323468e-70	1.3417384884488556e-69	1
THBS4	4.1337166	1.7038373287322593e-66	4.989274754706469e-66	1
CRYAB	1.0510614	1.6508960883443123e-65	4.792151199838353e-65	1
OLFML3	1.0288185	4.42601285903246e-65	1.281045690023867e-64	1
BAMBI	1.366019	4.090524510031048e-63	1.1571497906735638e-62	1
APOE	1.0865629	7.856665129235004e-62	2.188486108422007e-61	1
GADD45G	1.1080258	2.3321297570326885e-61	6.487148141954627e-61	1
FAM46C	1.0863669	2.859221323101284e-53	7.340747941209971e-53	1
HOXC10	1.4456011	1.8238024048454074e-51	4.605561628397493e-51	1
PCP4	3.025061	4.650787635395101e-51	1.1714830315856677e-50	1
OSR2	1.0640134	2.044119143699184e-49	5.059700850740555e-49	1
RSPO3	3.2655525	1.4160563519225493e-48	3.496435436845801e-48	1
TMEM100	1.7144911	5.3384728635651714e-45	1.271064967515517e-44	1
ID4	1.1167676	1.243638641796502e-44	2.9470109995177776e-44	1
MATN4	2.7890656	2.8000501964978735e-42	6.496636186770008e-42	1
PRSS35	1.2112763	8.048598184961322e-28	1.5859306768396695e-27	1
STMN2	4.7212763	3.0977219471115784e-27	6.0620781743866506e-27	1
MMP11	1.3821155	1.7946407120352996e-25	3.4479168338814595e-25	1
RP11-168E14	3.7395015	1.617159196408814e-24	3.0657046377418278e-24	1
QPCT	1.1191357	1.7481645030398642e-22	3.222423047078091e-22	1
HIGD1B	1.4883827	1.378240928104556e-20	2.4855562274202992e-20	1
OGN	1.8501995	3.511889567281626e-20	6.27123137014576e-20	1
CA2	1.42343	3.965218535611472e-18	6.8661792824441074e-18	1
CYP26A1	1.5507742	2.148993680764712e-10	3.278403784538081e-10	1
PRSS1	1.3740494	2.3944325969302413e-05	3.140239471383923e-05	1
FTL	1.4603246	0.0	0.0	2
MT-ND4	1.7430089	0.0	0.0	2
GADD45G	4.052845	2.117225868727957e-261	6.721351964215737e-260	2
MT-CO2	1.5190802	0.0	0.0	2
MT-CO3	1.5125592	0.0	0.0	2
CPE	3.4648068	2.7220933905303796e-235	6.89137567222881e-234	2
ITM2A	3.2505023	3.0047283396651844e-212	6.393039020564222e-211	2
NFKBIA	2.1133687	2.761571044395507e-197	4.887736361761959e-196	2
VIM	1.8074235	1.086556293662362e-190	1.7812398256760034e-189	2
CNN1	4.029411	2.0364118653758138e-181	2.888527468618176e-180	2
LUM	5.362271	3.394637813216521e-175	4.352099760534001e-174	2
CTGF	4.0487294	1.1722753926600177e-169	1.4123799911566477e-168	2
DCN	4.442836	8.55764698335944e-169	1.0008943840186478e-167	2
TAGLN	2.7688112	7.105606952865886e-159	7.681737246341498e-158	2
HSPB6	3.9299214	3.4123382231390556e-150	3.4123382231390555e-149	2
SNAI2	2.1995518	8.28948062738039e-144	7.857327608891365e-143	2
ERRFI1	2.993851	3.834719055569588e-133	3.0555530323263646e-132	2
DHRS3	1.7197502	1.158170229134116e-131	9.048204915110281e-131	2
TNC	2.5102115	9.181033531564434e-114	5.904201628015714e-113	2
CYR61	2.0194976	1.1992662607756084e-114	7.838341573696787e-114	2
PLS3	2.145464	1.571222757344161e-113	1.0039762027758218e-112	2
GREM1	3.374369	4.85569307598003e-112	3.053895016339642e-111	2
SPRY1	2.5786366	7.843061348967459e-109	4.826499291672282e-108	2
ID4	2.7102945	5.604971957104388e-104	3.2970423277084633e-103	2
TIMP3	2.0839386	1.3253679111356687e-99	7.42503031448554e-99	2
FBXO32	4.3423934	1.182968767322821e-96	6.429178083276201e-96	2
PHLDA1	2.8175747	1.0408711339392626e-94	5.521862779518635e-94	2
SERPINI1	2.832975	5.124055459006066e-94	2.6968712942137186e-93	2
