names	scores	logFC	pvals	adj_pvals	cluster
CCT2	273.09827	5.657849	0.0	0.0	46
GNB2L1	268.5139	9.130605	0.0	0.0	46
EIF3H	191.94984	3.3346517	0.0	0.0	46
CPNE3	186.79115	4.412986	0.0	0.0	46
YEATS4	184.07063	5.77034	0.0	0.0	46
TPD52	181.21451	4.6453424	0.0	0.0	46
C8orf59	148.01018	3.662048	0.0	0.0	46
ATP5B	129.11852	8.243255	0.0	0.0	46
GLTSCR2	125.09232	8.096674	0.0	0.0	46
MRPL13	123.17743	3.6890821	0.0	0.0	46
PABPC1	121.18513	2.5368452	0.0	0.0	46
XBP1	117.44507	3.1687164	0.0	0.0	46
RPL7	109.82412	1.6836729	0.0	0.0	46
PPDPF	105.48392	2.2496133	0.0	0.0	46
MRPS28	99.94176	4.5076613	0.0	0.0	46
ALDOA	99.35293	4.467921	0.0	0.0	46
NDUFS8	96.321556	2.8794575	0.0	0.0	46
NACA	95.38282	1.4377005	0.0	0.0	46
ATP5E	94.92292	6.402541	0.0	0.0	46
SPINT2	93.563644	2.2109833	0.0	0.0	46
RPS3A	92.80178	1.4123952	0.0	0.0	46
CHMP4C	91.45584	4.3691735	0.0	0.0	46
RPL9	91.03096	1.3664603	0.0	0.0	46
SEPP1	89.09348	9.613824	0.0	0.0	46
CNOT2	88.14727	3.3841636	0.0	0.0	46
RAD21	87.67342	2.9963193	0.0	0.0	46
RPL13A	86.51341	1.2825193	0.0	0.0	46
TMEM230	85.76416	2.379006	0.0	0.0	46
ATP5G3	85.38432	6.7207584	0.0	0.0	46
PTGES3	85.09009	2.0668085	0.0	0.0	46
SLC25A6	84.22907	1.7012635	0.0	0.0	46
MRPL21	84.150505	2.9453022	0.0	0.0	46
GSTM3	84.06676	3.98765	0.0	0.0	46
SLC35E3	84.052765	4.440453	0.0	0.0	46
EIF4A3	83.81574	3.145852	0.0	0.0	46
ATP5I	83.69429	6.831382	0.0	0.0	46
ATP5O	83.297195	6.5876627	0.0	0.0	46
C14orf166	82.1882	6.9445343	0.0	0.0	46
MLF2	82.168175	2.4677274	0.0	0.0	46
TPI1	80.1547	2.0546958	0.0	0.0	46
ATP5G2	79.666046	6.3822303	0.0	0.0	46
SEPW1	79.59669	7.069847	0.0	0.0	46
TMBIM4	79.27711	2.4048703	0.0	0.0	46
