Cluster 0: HLA-DRA, TYROBP, CD74, FCER1G, SRGN, HLA-DPA1, HLA-DRB1, AIF1, HLA-DPB1, LAPTM5
Cluster 1: MRPS30-DT, LINC01238, PIP, KCNE4, RHOBTB3, IFI27, SLC39A6, AGR3, CST5, KCNJ3
Cluster 2: SLPI, CSTB, TACSTD2, KRT17, KRT14, DDIT4, KRT6B, MT1X, S100P, SAA1
Cluster 3: SLPI, KRT17, KRT14, HMGB2, TACSTD2, CSTB, DDIT4, KRT6B, UBE2C, CDKN2A
Cluster 4: MTCO2P12, H3-3B, CD3E, H3-3A, RAC2, CORO1A, CD52, IFITM1, IL32, PTPRC
Cluster 5: COL1A2, DCN, LUM, COL3A1, COL1A1, COL6A2, CALD1, COL6A3, SPARC, COL6A1
Cluster 6: CDKN2A, CSTB, CALML5, CRYAB, SLPI, KRT14, KRT5, TTYH1, S100A1, TACSTD2
Cluster 7: AZGP1, AGR3, WFDC2, SLC39A6, AGR2, ANKRD30A, RARRES3, HES1, KRT15, STC2
Cluster 8: KRT19, AZGP1, CD24, TCEAL4, GSTM3, FABP3, STC2, AGR3, SUSD3, ANKRD30A
Cluster 9: CD52, SRGN, CD3D, PTPRC, CD2, CORO1A, TRAC, IL32, S100A4, TRBC2
Cluster 10: NFKBIA, SOD2, CTSL, CXCL2, GEM, TNFAIP6, DCN, MEG3, CXCL3, APOD
Cluster 11: CD59, PCAT19, NFKBIA, IGFBP7, TM4SF1, HMOX1, ADAMTS9, SOD2, AKAP12, IFI27
Cluster 12: MTCO2P12, H3-3A, H3-3B, MTRNR2L12, ALDOA, ASAH1, GPX1, H2AZ1, H2AJ, CPB1
Cluster 13: RPL23, MUCL1, KRT10, ERBB2, CALML5, PSMB3, CRIP1, IGHG1, DUSP6, GRB7
Cluster 14: SOD2, CD59, SAA1, RPL23, KRT7, CXCL1, ALDH1A3, MT1X, TACSTD2, CXCL8
Cluster 15: KRT19, STC2, CD24, GSTM3, ANKRD30A, HSPA1A, SRARP, SUSD3, AZGP1, SLC40A1
